ID,Goles,Goles_de_no_penalti,Penaltis_convertidos,Penaltis_intentados,Tiros_de_falta,Goles,Tiros,Tiros_a_puerta,Porcent_tiros,Tiros/90,Tiros_a_puerta/90,Goles/tiros,Goles/tiros_a_puerta,Media_distancia_de_tiro
95,0,0,0,0,0,0,1,0,"0,00%",3.10,0.00,0.00,0,23.5
96,0,0,0,0,0,0,2,0,"0,00%",0.62,0.00,0.00,0,13.8
97,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
98,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
99,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
100,0,0,0,0,0,0,3,0,"0,00%",0.54,0.00,0.00,0,20.8
101,1,1,0,0,1,1,13,4,"30,77%",1.46,0.45,0.08,0.25,26.6
102,0,0,0,0,0,0,4,1,"25,00%",0.50,0.12,0.00,0.00,19.4
103,0,0,0,0,0,0,6,2,"33,33%",0.96,0.32,0.00,0.00,30.9
104,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
105,0,0,0,0,0,0,8,2,"25,00%",1.91,0.48,0.00,0.00,25.6
106,0,0,0,0,0,0,3,0,"0,00%",1.00,0.00,0.00,0,13.5
107,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
108,0,0,0,0,0,0,3,0,"0,00%",0.75,0.00,0.00,0,9.1
109,0,0,0,0,0,0,2,1,"50,00%",0.40,0.20,0.00,0.00,12.0
110,0,0,0,0,0,0,3,0,"0,00%",0.60,0.00,0.00,0,15.5
111,1,1,0,1,2,1,12,5,"41,67%",3.94,1.64,0.08,0.20,23.0
112,0,0,0,0,0,0,2,0,"0,00%",0.50,0.00,0.00,0,12.0
