ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
475,251,19,115,101,36,1,251,2,0,"0,00%",2,"100,00%",166,821,433,8,4,0,2,2,169,16
476,487,41,244,226,20,4,487,1,0,"0,00%",1,"100,00%",287,1522,775,11,7,0,2,5,312,5
477,366,40,153,172,44,2,366,1,1,"100,00%",0,"0,00%",197,827,439,6,5,2,3,1,246,5
478,138,7,43,47,48,3,138,2,1,"50,00%",1,"50,00%",77,343,163,6,5,2,2,1,83,22
479,32,4,17,4,11,3,32,0,0,"0,00%",0,"0,00%",17,65,24,1,1,1,1,0,16,4
480,322,5,46,213,69,9,322,18,11,"61,11%",4,"22,22%",236,1035,525,11,8,1,12,7,254,12
481,304,0,21,106,179,29,304,32,11,"34,38%",18,"56,25%",198,1356,616,24,17,7,14,15,224,47
482,40,12,32,7,1,1,40,0,0,"0,00%",0,"0,00%",21,41,20,0,0,0,0,0,31,0
483,125,107,125,0,0,0,125,1,0,"0,00%",0,"0,00%",82,381,186,0,0,0,0,0,83,0
484,44,1,5,32,7,0,44,0,0,"0,00%",0,"0,00%",36,154,67,1,0,0,1,0,35,2
485,468,2,34,234,205,30,468,31,14,"45,16%",12,"38,71%",404,2605,1346,37,30,11,13,19,399,31
486,108,18,73,34,3,2,108,2,2,"100,00%",0,"0,00%",66,250,115,2,1,0,0,0,77,0
487,257,16,60,126,74,6,257,2,0,"0,00%",2,"100,00%",138,547,223,2,4,0,7,7,130,11
488,193,7,37,92,66,15,193,4,1,"25,00%",3,"75,00%",98,378,120,5,2,4,10,1,112,14
489,295,4,16,124,158,34,295,18,8,"44,44%",8,"44,44%",225,1122,415,15,10,5,15,12,248,51
490,6,0,0,5,1,0,6,1,0,"0,00%",1,"100,00%",6,34,0,0,0,0,0,2,6,1
491,159,1,13,49,99,35,159,10,3,"30,00%",5,"50,00%",87,627,253,13,7,5,8,5,110,50
492,29,1,2,12,16,2,29,6,4,"66,67%",1,"16,67%",23,223,159,6,5,1,4,1,23,6
493,353,9,54,163,138,21,353,8,3,"37,50%",3,"37,50%",227,1009,463,7,10,0,8,4,232,27
494,127,118,127,0,0,0,127,0,0,"0,00%",0,"0,00%",64,337,228,0,0,0,0,0,45,0
495,16,1,2,8,6,2,16,0,0,"0,00%",0,"0,00%",9,57,12,0,0,0,1,0,14,1
496,9,0,2,4,5,1,9,2,1,"50,00%",1,"50,00%",6,70,47,1,3,1,0,0,5,0
