ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
661,Mavis Tchibota,IL,Maccabi Haifa,FW,26,1996,4,1,93,"1,03",1,0,0,4,2,0
662,Aurélien Tchouaméni,ES,Real Madrid,MF,22,2000,10,5,432,"4,80",0,0,0,5,5,0
663,Mathys Tel,DE,Bayern Munich,FW,17,2005,5,0,145,"1,61",0,0,0,0,1,1
664,Alex Telles,ES,Sevilla ,"DF,FW",29,1992,6,4,391,"4,34",0,0,0,3,7,0
665,Marc-André ter Stegen,ES,Barcelona ,GK,30,1992,5,5,450,"5,00",0,0,0,0,0,0
666,Kévin Théophile-Catherine,HR,Dinamo Zagreb,DF,32,1989,1,1,75,"0,83",0,0,0,1,0,0
667,Malick Thiaw,IT,Milan ,DF,20,2001,4,3,275,"3,06",2,0,0,8,3,0
668,Mohamed Tijani,CZ,Viktoria Plzeň,DF,25,1997,3,2,168,"1,87",0,0,0,1,1,0
669,Malik Tillman,SCT,Rangers ,MF,20,2002,5,4,244,"2,71",0,0,0,1,5,0
670,Jurriën Timber,NL,Ajax ,DF,21,2001,6,6,529,"5,88",2,0,0,11,5,1
671,Fikayo Tomori,IT,Milan ,DF,24,1997,10,10,827,"9,19",4,1,0,14,2,0
672,Sandro Tonali,IT,Milan ,MF,22,2000,12,12,1,"0,01",3,0,0,13,18,2
673,Pablo Torre,ES,Barcelona ,"MF,FW",19,2003,3,1,95,"1,06",1,0,0,3,1,0
674,Ferrán Torres,ES,Barcelona ,"FW,MF",22,2000,5,1,188,"2,09",1,0,0,2,2,1
675,Andriy Totovytskyi,UA,Shakhtar ,MF,29,1993,1,0,17,"0,19",0,0,0,0,0,0
676,Kevin Trapp,DE,Eint Frankfurt,GK,32,1990,8,8,720,"8,00",0,0,0,0,1,0
677,Francisco Trincão,PT,Sporting CP,"MF,FW",22,1999,6,5,386,"4,29",0,0,0,2,3,1
678,Anatolii Trubin,UA,Shakhtar ,GK,20,2001,6,6,540,"6,00",1,0,0,0,0,0
679,Kostas Tsimikas,ENG,Liverpool ,DF,26,1996,6,4,342,"3,80",1,0,0,6,8,0
680,David Turnbull,SCT,Celtic ,MF,23,1999,5,0,103,"1,14",0,0,0,1,0,0
681,Tuta,DE,Eint Frankfurt,DF,23,1999,7,7,599,"6,66",2,1,1,6,1,0
682,Marián Tvrdoň,CZ,Viktoria Plzeň,GK,27,1994,1,1,90,"1,00",0,0,0,0,0,0
683,Manuel Ugarte Ribeiro,PT,Sporting CP,MF,21,2001,6,6,467,"5,19",2,0,0,16,11,0
684,Andreas Ulmer,AT,RB Salzburg,DF,36,1985,6,4,375,"4,17",1,0,0,4,2,0
685,Sven Ulreich,DE,Bayern Munich,GK,33,1988,3,3,270,"3,00",0,0,0,0,0,0
686,Cengiz Ünder,FR,Marseille ,MF,25,1997,6,1,173,"1,92",1,0,0,1,0,1
687,Dayot Upamecano,DE,Bayern Munich,DF,23,1998,10,9,713,"7,92",2,0,0,7,1,0
688,Mateus Uribe,PT,Porto ,MF,31,1991,7,7,610,"6,78",3,0,0,14,2,0
689,Jesús Vallejo,ES,Real Madrid,DF,25,1997,1,0,18,"0,20",0,0,0,0,0,0
