ID,Entradas,Entradas_ganadas,Entradas_defensa,Entradas_medio_campo,Entradas_ataque,Regates_parados,Regates_recibidos,Porcent_regates_parados,Regates_perdidos,Bloqueos,Disparos_bloqueados,Pases_bloqueados,Intercepciones,Intercepciones_intentadas,Despejes,Errores,Duelos_aereos_ganados,Duelos_aereos_perdidos,Porcent_duelos_aereos
59,0,0,0,0,0,0,2,"0,00%",2,0,0,0,0,0,0,0,1,6,"14,29%"
60,20,8,17,3,0,10,16,"62,50%",6,14,5,9,9,29,32,0,18,9,"66,67%"
61,8,1,7,1,0,3,5,"60,00%",2,3,1,2,10,18,14,0,10,4,"71,43%"
62,3,1,2,0,1,2,2,"100,00%",0,1,0,1,0,3,0,0,0,0,"0,00%"
63,2,1,2,0,0,1,3,"33,33%",2,2,0,2,1,3,2,0,3,1,"75,00%"
64,4,3,1,2,1,2,3,"66,67%",1,3,2,1,1,5,1,0,0,7,"0,00%"
65,15,8,9,3,3,8,16,"50,00%",8,15,4,11,13,28,8,0,10,14,"41,67%"
66,26,13,11,10,5,5,10,"50,00%",5,5,0,5,7,33,2,0,6,12,"33,33%"
67,12,7,4,7,1,6,8,"75,00%",2,5,2,3,5,17,4,0,6,10,"37,50%"
68,2,2,1,0,1,0,1,"0,00%",1,5,0,5,0,2,8,0,3,10,"23,08%"
69,13,9,2,8,3,7,10,"70,00%",3,5,0,5,4,17,0,0,1,2,"33,33%"
70,3,1,0,1,2,1,1,"100,00%",0,2,0,2,1,4,1,0,1,4,"20,00%"
71,0,0,0,0,0,0,0,"0,00%",0,1,0,1,0,0,1,0,0,1,"0,00%"
72,10,6,9,1,0,4,7,"57,14%",3,6,3,3,5,15,16,1,5,6,"45,45%"
73,11,7,9,1,1,7,10,"70,00%",3,3,1,2,1,12,2,0,1,2,"33,33%"
74,15,6,9,3,3,5,7,"71,43%",2,11,1,10,6,21,14,0,2,3,"40,00%"
75,4,1,3,1,0,2,8,"25,00%",6,2,0,2,6,10,4,0,3,0,"100,00%"
76,2,1,2,0,0,1,2,"50,00%",1,4,1,3,2,4,2,0,2,1,"66,67%"
77,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,2,0,1,0,"100,00%"
78,17,10,6,6,5,10,14,"71,43%",4,6,2,4,4,21,9,1,7,6,"53,85%"
79,1,0,0,0,1,0,0,"0,00%",0,0,0,0,0,1,0,0,0,0,"0,00%"
80,0,0,0,0,0,0,1,"0,00%",1,2,1,1,2,2,3,0,0,0,"0,00%"
81,7,5,5,2,0,2,3,"66,67%",1,11,9,2,7,14,30,1,5,8,"38,46%"
82,14,4,10,2,2,5,9,"55,56%",4,1,0,1,7,21,6,0,1,3,"25,00%"
83,2,0,1,1,0,2,4,"50,00%",2,6,6,0,2,4,14,0,6,5,"54,55%"
